From,From (Friendly Name),To,To (Friendly Name),Group,Concordance
Dendritic_cells,Dendritic cells,CD276,B7-H3,C4,4.8
T_cells_CD8,T cells CD8,CD276,B7-H3,C3,3
BTLA,BTLA,CD79A,CD79A,C3,10
VEGFA,VEGFA,FLT1,VEGFR1,C4,5.25
VEGFB,VEGFB,FLT1,VEGFR1,C3,3
VEGFA,VEGFA,GPC1,GPC1,C4,9.667
T_cells_CD4,T cells CD4,HLA-A,HLA-A,C3,3
Mast_cells,Mast cells,HLA-A,HLA-A,C3,3.667
Macrophage,Macrophage,IL10,IL10,C3,7
IL10,IL10,IL10RA,IL10RA,C3,12
ICAM3,ICAM3,ITGB2,ITGB2,C3,5
HLA-C,HLA-C,KIR2DL1,KIR2DL1,C3,4.667
HLA-A,HLA-A,KIR3DL1,KIR3DL1,C4,6.667
HLA-A,HLA-A,KIR3DL2,KIR2DL2,C3,2.75
HLA-B,HLA-B,KLRD1,KLRD1,C3,3
HLA-B,HLA-B,LILRB1,LILRB1,C3,3.333
ITGB2,ITGB2,Macrophage,Macrophage,C3,3
TLR4,TLR4,Macrophage,Macrophage,C3,6
TLR4,TLR4,Mast_cells,Mast cells,C3,3.667
PDCD1LG2,PD-L2,PDCD1,PD-1,C3,8
TNFRSF14,HVEM,T_cells_CD8,T cells CD8,C3,2.667
Dendritic_cells,Dendritic cells,TNFSF4,OX40L,C3,4
Dendritic_cells,Dendritic cells,TNFSF9,4-1BB-L,C4,3.2
NK_cells,NK cells,TNFSF9,4-1BB-L,C4,3.2
